"No.";"Human Annotation";"Language";"text";"Version";"instruction";"R";"label";"motivation"
"1";"contra";"Original language (EN)";"I think it’s clear that a good chunk of Americans are incapable of reflection.";"Tertiar";;;"0";"The comment does not explicitly express approval or disapproval of Donald J. Trump; it instead makes a general statement about Americans and their capacity for reflection."
"1";"contra";"Original language (EN)";"I think it’s clear that a good chunk of Americans are incapable of reflection.";"Binär";;;"1";"The comment suggests a negative view of a portion of the American populace, which may imply disapproval of Trump's supporters or policies, indicating a contrarian stance."
"2";"contra";"Original language (EN)";"I probably would feel less worse if I knew he lost the popular vote. But my belief that most in this country are decent is gone. I won't ever get that back. Now I know a majority is just evil and hateful.";"Tertiar";;;"-1";"The comment expresses a negative sentiment towards the majority of people who supported Trump, indicating disapproval of Trump and his supporters."
"2";"contra";"Original language (EN)";"I probably would feel less worse if I knew he lost the popular vote. But my belief that most in this country are decent is gone. I won't ever get that back. Now I know a majority is just evil and hateful.";"Binär";;;"1";"The comment expresses disapproval of Trump by indicating a negative view of the majority of people who supported him, suggesting that they are 'evil and hateful.' This reflects a strong disapproval of Trump and his supporters."
"3";"contra";"Original language (EN)";"No. This country will not regret a single thing. They will cheer and applaud with grins on their faces as we all get lead to slaughter. We deserve every bit of Hell this fuck face is going to unleash.";"Tertiar";;;"-1";"The comment expresses strong disapproval of Donald J. Trump, using derogatory language and suggesting that his actions will lead to negative consequences for the country."
"3";"contra";"Original language (EN)";"No. This country will not regret a single thing. They will cheer and applaud with grins on their faces as we all get lead to slaughter. We deserve every bit of Hell this fuck face is going to unleash.";"Binär";;;"1";"The comment expresses strong disapproval of Donald J. Trump, using derogatory language and suggesting that his actions will lead to negative consequences for the country."
"4";"pro";"Original language (EN)";"Sure, looks like the copium is real here. Accept the loss. America has spoken. Popular vote, electoral vote, it’s all a win for the American people. Sucks to suck.";"Tertiar";;;"-1";"The comment expresses a clear disapproval of Trump by suggesting that he should accept the loss and implying that he is in denial ('copium'). The phrase 'America has spoken' indicates that the speaker believes the election results were legitimate and favorable to the opposing side."
"4";"pro";"Original language (EN)";"Sure, looks like the copium is real here. Accept the loss. America has spoken. Popular vote, electoral vote, it’s all a win for the American people. Sucks to suck.";"Binär";;;"1";"The comment expresses a dismissive attitude towards those who may still support Trump after his loss, indicating disapproval of Trump and his supporters."
"5";"pro";"Original language (EN)";"Womp womp. I'll enjoy my affordable groceries, gas, and peace for another 4 years.";"Tertiar";;;"1";"The comment expresses satisfaction with affordable groceries, gas, and peace, which implies approval of the current situation likely associated with Trump's policies."
"5";"pro";"Original language (EN)";"Womp womp. I'll enjoy my affordable groceries, gas, and peace for another 4 years.";"Binär";;;"0";"The comment expresses satisfaction with affordable groceries, gas, and peace, which implies approval of the current administration's policies, likely associated with Trump."
"6";"pro";"Original language (EN)";"Yeah he wasn’t even just electorally chosen he is the candidate more ppl straight up want";"Tertiar";;;"1";"The comment expresses approval of Trump by stating that he is the candidate that more people want, indicating a positive view of his electoral support."
"6";"pro";"Original language (EN)";"Yeah he wasn’t even just electorally chosen he is the candidate more ppl straight up want";"Binär";;;"0";"The comment expresses approval of Trump by stating that he is the candidate that more people want, implying support for his candidacy."
"7";"pro";"Original language (EN)";"No we wont. We will not regret electing the right candidate. We won the senate, the house, and the presidency. We shall live and prosper while you cope.";"Tertiar";;;"1";"The comment expresses confidence in having elected the 'right candidate' and indicates a positive outlook on the political situation, suggesting approval of Trump's presidency."
"7";"pro";"Original language (EN)";"No we wont. We will not regret electing the right candidate. We won the senate, the house, and the presidency. We shall live and prosper while you cope.";"Binär";;;"0";"The comment expresses confidence in having elected the 'right candidate' and mentions winning the senate, house, and presidency, which implies approval of Trump's leadership and the political outcomes associated with it."
