"Comment";"Coding";"name";"instruction";"label";"ref_type";"motivation"
"Is he gon light the blunt wit it👀";"2";"no context";;"2";"slang";"The comment directly references a 'blunt,' which is a common slang term for a marijuana cigarette. The use of the emoji '👀' suggests curiosity or anticipation, further indicating a drug-related context."
"Is he gon light the blunt wit it👀";"2";"context";;"1";"slang";"The comment uses the slang term 'blunt,' which refers to a cigar that has been hollowed out and filled with marijuana. The use of the emoji '👀' suggests a sense of curiosity or anticipation, further implying a connection to drug culture."
"i support this 🔥";"1";"no context";;"0";"";"The comment 'i support this 🔥' does not contain any direct or indirect references to drugs. The fire emoji (🔥) is often used to signify excitement or something being 'lit,' but in this context, it does not imply drug use."
"i support this 🔥";"1";"context";;"0";"";"The comment 'i support this 🔥' does not contain any direct or indirect references to drugs. The fire emoji (🔥) is often used to express enthusiasm or excitement, but in this context, it does not imply any drug-related meaning."
"WHAT CAN'T HE DO";"2";"no context";;"0";"";"The comment 'WHAT CAN'T HE DO' does not contain any references to drugs, slang, or any related emojis. It appears to be a general expression of amazement or admiration without any hidden meanings related to drug culture."
"WHAT CAN'T HE DO";"2";"context";;"0";"";"The comment 'WHAT CAN'T HE DO' does not contain any references to drugs, either directly or indirectly. It appears to express amazement or admiration for Snoop Dogg's versatility without any drug-related connotations."
"This is the ""highest"" honor I've seen this far 😁😁";"2";"no context";;"1";"slang";"The use of the word 'highest' can be interpreted as a slang reference to drug use, particularly marijuana, where 'high' refers to the state of intoxication. The context of 'honor' could imply a humorous or sarcastic take on achieving something notable, but the word choice suggests an indirect reference to drug culture."
"This is the ""highest"" honor I've seen this far 😁😁";"2";"context";;"1";"humor";"The comment uses the word 'highest,' which can be interpreted as a reference to being under the influence of drugs, particularly marijuana, which Snoop Dogg is famously associated with. The use of smiling emojis adds a humorous tone, suggesting a light-hearted acknowledgment of the double meaning."
"We need Snoop to Crip walk with the torch 😭";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It mentions Snoop Dogg, who is associated with hip-hop culture, and 'Crip walk,' which is a dance move, but there are no drug-related terms, slang, or emojis present."
"We need Snoop to Crip walk with the torch 😭";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It humorously suggests Snoop Dogg perform a dance move (the Crip walk) while carrying the Olympic torch, which is a cultural reference related to his persona and not drug-related."
"probably the most random thing i’ve seen all year";"0";"no context";;"0";"";"The comment does not contain any references to drugs, drug slang, or related emojis. It expresses a general opinion about randomness without any hidden meanings or implications related to drug use."
"probably the most random thing i’ve seen all year";"0";"context";;"0";"";"The comment does not contain any references to drugs, either directly or indirectly. It expresses surprise or amusement at the situation without any drug-related language or implications."
"He’s completed every side quest at this point";"0";"no context";;"0";"";"The comment does not contain any references to drugs, drug slang, or related emojis. It appears to be a general statement about someone completing tasks or challenges, likely in a gaming context."
"He’s completed every side quest at this point";"0";"context";;"0";"none";"The comment does not contain any references to drugs, either directly or indirectly. It uses gaming terminology ('side quest') which is unrelated to drug culture."
"Shaq has 48 hours to respond";"0";"no context";;"0";"";"The comment does not contain any references to drugs, drug slang, or related emojis. It appears to be a straightforward statement without any hidden meanings."
"Shaq has 48 hours to respond";"0";"context";;"0";"";"The comment does not contain any references to drugs, drug-related language, or any slang that implies drug use. It appears to be a straightforward statement without hidden meanings."
"If he doesn’t light a blunt with it… I’ll be disappointed";"2";"no context";;"2";"slang";"The comment directly references a 'blunt,' which is a common slang term for a marijuana cigarette. The phrase implies a desire for drug use, indicating a clear connection to drug culture."
"If he doesn’t light a blunt with it… I’ll be disappointed";"2";"context";;"1";"slang";"The comment uses the slang term 'blunt,' which refers to a cigar that has been hollowed out and filled with marijuana. This indicates an indirect reference to drug use, specifically cannabis, without explicitly naming it."
"Can he carry me next";"0";"no context";;"0";"";"The comment 'Can he carry me next' does not contain any direct or indirect references to drugs. It appears to be a straightforward question without any slang, emojis, or hidden meanings related to drug use."
"Can he carry me next";"0";"context";;"0";"none";"The comment does not contain any references to drugs, slang, or hidden meanings related to drug use. It appears to be a light-hearted or humorous remark about being carried by Snoop Dogg."
"Love snoop but this is random asf";"0";"no context";;"0";"";"The comment expresses admiration for Snoop Dogg but does not contain any references to drugs, either directly or indirectly. There are no slang terms, emojis, or hidden meanings related to drug culture."
"Love snoop but this is random asf";"0";"context";;"0";"";"The comment does not contain any references to drugs, either directly or indirectly. It expresses a personal opinion about the randomness of Snoop Dogg carrying the Olympic torch without any drug-related language or implications."
"Why?";"0";"no context";;"0";"";"The comment 'Why?' does not contain any references to drugs, slang, or any related language. It is a simple question without any context suggesting drug-related content."
"Why?";"0";"context";;"0";"";"The comment does not contain any references to drugs, slang, or any related emojis. It appears to be a straightforward expression of excitement or support for Snoop Dogg carrying the Olympic torch."
"He’s done it all, snoop done beat the game of life several times😭😭😭";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It appears to be a general statement about someone's achievements or experiences in life, possibly referencing Snoop Dogg's successful career, but lacks any drug-related language or implications."
"He’s done it all, snoop done beat the game of life several times😭😭😭";"0";"context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It expresses admiration for Snoop Dogg's accomplishments in life without using any drug-related language or innuendos."
"Good role model for USA these days a smoking pot gang member";"2";"no context";;"1";"slang";"The comment indirectly refers to drug use by mentioning 'smoking pot,' which is a slang term for using marijuana. The phrase 'gang member' could imply a connection to drug culture, but it is not a direct reference to drugs."
"Good role model for USA these days a smoking pot gang member";"2";"context";;"1";"slang";"The comment indirectly references drug use by mentioning 'smoking pot,' which is a slang term for using marijuana. The phrase 'gang member' adds a negative connotation, suggesting a stereotype associated with drug culture."
"Snoop gone crip walk on the moon before he dies, that’s the only quest left at this point 🔥😂";"1";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It mentions Snoop Dogg and a humorous scenario about him 'crip walking on the moon,' which is a playful exaggeration and does not imply drug use."
"Snoop gone crip walk on the moon before he dies, that’s the only quest left at this point 🔥😂";"1";"context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It uses humor and cultural references related to Snoop Dogg's persona and dance moves, but there are no drug-related terms or implications."
"He got light a blunt with the torch 😭😭😭";"2";"no context";;"2";"direct drug name";"The comment directly references 'blunt,' which is a common slang term for a marijuana cigar. The use of 'torch' also implies the act of lighting it, further confirming the direct reference to drug use."
"He got light a blunt with the torch 😭😭😭";"2";"context";;"1";"slang";"The comment uses the slang term 'blunt,' which refers to a cigar that has been hollowed out and filled with marijuana. The phrase 'light a blunt with the torch' suggests using the Olympic torch to light a marijuana cigarette, indicating an indirect reference to drug use."
"Luv Snoop, but only those competing should carry the torch.🇺🇸";"0";"no context";;"0";"";"The comment does not contain any direct or indirect references to drugs. It expresses admiration for Snoop and mentions competition, but there are no slang terms, emojis, or hidden meanings related to drug use."
"Luv Snoop, but only those competing should carry the torch.🇺🇸";"0";"context";;"0";"";"The comment expresses a personal opinion about who should carry the Olympic torch without any references to drugs, slang, or hidden meanings related to drug culture."
