"text";"gold";"observed";"reason_sexist"
"My buddy and wife just stopped by to check on me and my kids, left me with tons of food and love. Best people ever, and young and Christian, and caucasian,";"not sexist";"not sexist";"The comment is not sexist. It does not express any negative sentiment towards women based on their gender."
"You are obviously illiterate and stupid if you think that's what was posted. You must be a #kike troll.";"not sexist";"not sexist";"The comment is offensive and derogatory but does not target women or express negative sentiment based on gender."
"Don't fred, you're a human, not a stonecold trp bot. You did the right thing and preserved your self respect and got out of a toxic relationship, even when it wasn't easy for you. Now, don't talk to her again and focus on yourself.";"not sexist";"not sexist";"The comment is not sexist. It does not express negative sentiment based on gender and is instead offering support and advice to someone who left a toxic"
"Has Huma been falling off any bridges recently or is she still holed up in a safe house?";"not sexist";"sexist";"The comment is sexist as it targets Huma Abedin, a woman, with a derogatory and demeaning insinuation, implying harm or"
"[USER]‍ & Anglin are on the same page. But yeah sorry, I mute gay retards like yourself so goodbye. Go back to making memes in moms basement";"not sexist";"not sexist";"The comment is offensive and derogatory, but it does not target women or express negative sentiment based on gender."
"She even said that he allegedly have her his blessing. Total fucking lie. She's trying to make it sound like Will was ok with it.";"not sexist";"not sexist";"The comment is critical of a specific woman's actions but does not express negative sentiment based on her gender."
"Yes, and men should not call women out for dress provocatively or else you're slut-shaming. And men should stop mansplaining on how to wear decent clothes. LMAO";"not sexist";"sexist";"The comment is sexist because it uses the term ""mansplaining"" in a derogatory manner, which expresses negative sentiment towards men based on"
"It’s 'open season' on vaccinating pregnant women with toxic, harmful substances confirmed present in many #vaccines [URL]";"not sexist";"not sexist";"The comment is critical of vaccinating pregnant women but does not express negative sentiment based on gender. It focuses on the perceived harm of vaccines rather"
"I've never seen anything like it. At first, i was puzzled. Then I realized that she is going to nudge him to the left. She is not qualified to advise the president on anything except maybe choice of ties.";"not sexist";"sexist";"The comment is sexist because it implies that the woman is not qualified to advise the president on anything serious, reducing her capabilities to something trivial like"
"Wow 😮 dude I’m sooo sorry tell ur mom I’m sorry I had no idea ur an actual retard 👌🙃my bad";"not sexist";"not sexist";"The comment is offensive and ableist, but it does not express negative sentiment based on gender."
"What the fuck? This is the epitome of fear mongering shit posts. What are you even talking about?";"not sexist";"not sexist";"The comment is expressing frustration and confusion but does not refer to women or express negative sentiment based on gender."
"You are a retard and I look forward to moving to the Balkans with my American money and fucking your sister.";"not sexist";"not sexist";"The comment is offensive and inappropriate, but it does not specifically target women or express negative sentiment based on gender."
"They call it rape but I bet most of those poor girls are under age,so that it should actually be charged as""child molesting""";"not sexist";"sexist";"The comment is sexist because it trivializes the severity of rape and implies that the victims' experiences are less significant based on their age, which"
"If on Twitter, you should RT this below. Trigger the libtards. [URL]";"not sexist";"not sexist";"The comment is derogatory towards a political group but does not specifically target women or express negative sentiment based on gender."
"somebody should set him up with my mom she likes to power trip on people who don't really have it coming and financially manipulate them";"not sexist";"not sexist";"The comment is not sexist. It does not express negative sentiment based on gender but rather describes an individual's behavior without reference to their gender."
"Yes you do because I said so, just like you said incels hate women";"not sexist";"not sexist";"The comment is not directed towards women or expressing negative sentiment based on gender. It appears to be a response to a previous statement about incels"
"YOUR BOY HITLER WAS A LOSER...""GOT HIS CLOCK CLEANED""...";"not sexist";"not sexist";"The comment is not directed towards women or based on gender."
"Honestly, I would have done a shit ton better defending Sanders than that idiot would have.";"not sexist";"not sexist";"The comment is critical of an individual's performance but does not express negative sentiment based on gender."
