"Comment";"Coding";"name";"instruction";"label";"ref_type";"motivation"
"Is he gon light the blunt wit it👀";"2";"no context";;"1";"slang";"The comment indirectly refers to drugs through the use of the word 'blunt,' which is a slang term for a marijuana cigar. The emoji '👀' suggests curiosity or anticipation, possibly about the action of lighting the blunt."
"Is he gon light the blunt wit it👀";"2";"context";;"1";"slang";"The comment indirectly refers to drugs through the use of the word 'blunt,' which is a slang term for a marijuana cigar. The suggestion of lighting a blunt with the Olympic torch is a humorous or sarcastic innuendo related to drug use."
"i support this 🔥";"1";"no context";;"0";"none";"The comment 'i support this 🔥' does not contain any direct or indirect references to drugs. The fire emoji is often used to indicate something is 'hot' or 'cool' and does not have a drug-related meaning in this context."
"i support this 🔥";"1";"context";;"0";"none";"The comment 'i support this 🔥' does not contain any direct or indirect references to drugs. The fire emoji is often used to express enthusiasm or approval and does not have a drug-related connotation in this context."
"WHAT CAN'T HE DO";"2";"no context";;"0";"none";"The comment 'WHAT CAN'T HE DO' does not contain any direct or indirect references to drugs. It appears to be a general expression of admiration or amazement, likely in response to a post showcasing someone's skills or achievements. There is no drug-related language, slang, or emojis present."
"WHAT CAN'T HE DO";"2";"context";;"0";"none";"The comment 'WHAT CAN'T HE DO' does not contain any direct or indirect references to drugs. It is a general expression of admiration or amazement at Snoop Dogg's abilities or achievements, without any drug-related language or innuendo."
"This is the ""highest"" honor I've seen this far 😁😁";"2";"no context";;"1";"humor";"The use of the word 'highest' in quotes, along with the smiling emojis, suggests a playful or humorous tone. The word 'highest' can be interpreted as a pun or indirect reference to being 'high,' a state associated with drug use, particularly cannabis. However, it is not a direct reference to drugs."
"This is the ""highest"" honor I've seen this far 😁😁";"2";"context";;"1";"humor";"The comment uses the word 'highest' in quotes, which can be interpreted as a humorous reference to Snoop Dogg's well-known association with marijuana use. The use of quotes suggests a double meaning, playing on the word 'high' as a slang term for being under the influence of cannabis."
"We need Snoop to Crip walk with the torch 😭";"0";"no context";;"1";"cultural innuendo";"The comment indirectly references drug culture through the mention of Snoop Dogg, who is widely associated with cannabis use. The term 'Crip walk' is a dance associated with the Crips gang, which can also be linked to drug culture. The use of '😭' emoji suggests humor or sarcasm."
"We need Snoop to Crip walk with the torch 😭";"0";"context";;"0";"none";"The comment refers to Snoop Dogg's association with the Crip gang and suggests he should perform the Crip walk, a dance move, while carrying the torch. There is no direct or indirect reference to drugs in this comment."
"probably the most random thing i’ve seen all year";"0";"no context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply expresses surprise or amusement at something perceived as random, without using any drug-related language, slang, or emojis."
"probably the most random thing i’ve seen all year";"0";"context";;"0";"none";"The comment does not contain any direct or indirect references to drugs. It simply expresses surprise or amusement at the situation, without any drug-related language or innuendo."
"He’s completed every side quest at this point";"0";"no context";;"0";"none";"The comment uses a metaphor related to video games, where 'side quests' are optional tasks or missions. There is no direct or indirect reference to drugs, slang, or drug-related emojis."
